DataFile,SampleName,SamplePrepMethod,ItcMethod,AnalysisMethod,CellConcentration,PipetteConcentration,CellSource,PipetteSource,PreRinseSource,SaveSampleDestination
20181017a1.itc,initial cleaning water titration,Plates Clean.setup,water5inj.inj,Control,0,0,"Plate1, A1","Plate1, B1",,"Plate1, A1"
20181017a2.itc,water into water 1,Plates Quick.setup,ChoderaWaterWater.inj,Control,0,0,"Plate1, C1","Plate1, D1",,"Plate1, C1"
20181017a3.itc,buffer into buffer 1,Plates Quick.setup,ChoderaWaterWater.inj,Control,0,0,"Plate1, E1","Plate1, F1",,"Plate1, E1"
20181017a4.itc,host into buffer 1,Plates Quick.setup,ChoderaHostGuest.inj,Onesite,0,0,"Plate1, G1","Plate1, H1",,"Plate1, G1"
20181017a5.itc,buffer into guest01,Chodera Load Cell Without Cleaning Cell After.setup,ChoderaHostGuest.inj,Control,0.075077061,0,"Plate1, A2","Plate1, B2",,"Plate1, A2"
20181017a6.itc,host into guest01,Plates Quick.setup,ChoderaHostGuest.inj,Onesite,0.075077061,0.549932687,"Plate1, C2","Plate1, D2",,"Plate1, C2"
20181017a7.itc,final water into water test 1,Plates Quick.setup,ChoderaWaterWater.inj,Control,0,0,"Plate1, E2","Plate1, F2",,"Plate1, E2"
20181017a8.itc,final water into water test 2,Plates Quick.setup,ChoderaWaterWater.inj,Control,0,0,"Plate1, G2","Plate1, H2",,"Plate1, G2"
