DataFile,SampleName,SamplePrepMethod,ItcMethod,AnalysisMethod,CellConcentration,PipetteConcentration,CellSource,PipetteSource,PreRinseSource,SaveSampleDestination
20180917a1,initial cleaning water titration,Plates Clean.setup,water5inj.inj,Control,0,0,"Plate1, A1","Plate1, B1",,"Plate1, A1"
20180917a2,water into water 1,Plates Quick.setup,ChoderaWaterWater.inj,Control,0,0,"Plate1, C1","Plate1, D1",,"Plate1, C1"
20180917a3,buffer into buffer 1,Plates Quick.setup,ChoderaWaterWater.inj,Control,0,0,"Plate1, E1","Plate1, F1",,"Plate1, E1"
20180917a4,host into buffer 1,Plates Quick.setup,ChoderaHostGuest.inj,Onesite,0,0,"Plate1, G1","Plate1, H1",,"Plate1, G1"
20180917a5,host into guest 0,Plates Quick.setup,ChoderaHostGuest.inj,Onesite,0.23648634404252017,10.00656065195872,"Plate1, A2","Plate1, B2",,"Plate1, A2"
20180917a6,host into guest 1,Plates Quick.setup,ChoderaHostGuest.inj,Onesite,0.3,6.406507072198223,"Plate1, C2","Plate1, D2",,"Plate1, C2"
20180917a7,host into guest 2,Plates Quick.setup,ChoderaHostGuest.inj,Onesite,0.3,4.0098588208031485,"Plate1, E2","Plate1, F2",,"Plate1, E2"
20180917a8,host into guest 3,Plates Quick.setup,ChoderaHostGuest.inj,Onesite,0.3,2.649378919285435,"Plate1, G2","Plate1, H2",,"Plate1, G2"
20180917a9,buffer into guest,Plates Quick.setup,ChoderaHostGuest.inj,Control,0.3,0,"Plate1, A3","Plate1, B3",,"Plate1, A3"
20180917a10,final water into water test 1,Plates Quick.setup,ChoderaWaterWater.inj,Control,0,0,"Plate1, C3","Plate1, D3",,"Plate1, C3"
20180917a11,final water into water test 2,Plates Quick.setup,ChoderaWaterWater.inj,Control,0,0,"Plate1, E3","Plate1, F3",,"Plate1, E3"
