DataFile,SampleName,SamplePrepMethod,ItcMethod,AnalysisMethod,CellConcentration,PipetteConcentration,CellSource,PipetteSource,PreRinseSource,SaveSampleDestination
20180914a1,initial cleaning water titration,Plates Clean.setup,water5inj.inj,Control,0,0,"Plate1, A1","Plate1, B1",,"Plate1, A1"
20180914a2,water into water 1,Plates Quick.setup,ChoderaWaterWater.inj,Control,0,0,"Plate1, C1","Plate1, D1",,"Plate1, C1"
20180914a3,buffer into buffer 1,Plates Quick.setup,ChoderaWaterWater.inj,Control,0,0,"Plate1, E1","Plate1, F1",,"Plate1, E1"
20180914a4,host into buffer 1,Plates Quick.setup,ChoderaHostGuest.inj,Onesite,0,0,"Plate1, G1","Plate1, H1",,"Plate1, G1"
20180914a8,host into guest 3,Plates Quick.setup,ChoderaHostGuest.inj,Onesite,0.007056065,0.990536002,"Plate1, G2","Plate1, H2",,"Plate1, G2"
20180914a9,host into guest 4,Plates Quick.setup,ChoderaHostGuest.inj,Onesite,0.023409466,0.990536002,"Plate1, A3","Plate1, B3",,"Plate1, A3"
20180914a10,host into guest 5,Plates Quick.setup,ChoderaHostGuest.inj,Onesite,0.046384215,0.990536002,"Plate1, C3","Plate1, D3",,"Plate1, C3"
20180914a11,host into guest 6,Plates Quick.setup,ChoderaHostGuest.inj,Onesite,0.074107547,0.990536002,"Plate1, E3","Plate1, F3",,"Plate1, E3"
20180914a12,buffer into guest,Chodera Load Cell Without Cleaning Cell After.setup,ChoderaHostGuest.inj,Control,0.074107547,0,"Plate1, G3","Plate1, H3",,"Plate1, G3"
20180914a13,final water into water test 1,Plates Quick.setup,ChoderaWaterWater.inj,Control,0,0,"Plate1, A4","Plate1, B4",,"Plate1, A4"
20180914a14,final water into water test 2,Plates Quick.setup,ChoderaWaterWater.inj,Control,0,0,"Plate1, C4","Plate1, D4",,"Plate1, C4"
